LogEntrySeconds,Температура охлаждающей жидкости ( °С),Обороты  двигателя ( об/мин),Желаемые обороты холостого хода ( об/мин),Угол опережения зажигания ( °ПКВ),Длительность импульса впрыска ( мс),Напряжение датчика кислорода 1 ( В),Положение педали газа ( %),Положение дроссельной заслонки ( %),Скорость автомобиля ( км/час),Флаг нажатия педали сцепления (-),Величина отскока УОЗ при детонации ( °ПКВ),Счетчик пропусков в цилиндре 1 за текущую поездку (-),Счетчик пропусков в цилиндре 3 за текущую поездку (-),Счетчик пропусков в цилиндре 4 за текущую поездку (-),Счетчик пропусков в цилиндре 2 за текущую поездку (-)
112,45.0,954.0,940.0,6.0,3.68,0.26,0.0,4.49,0.0,0.0,0.0,,,,
113,45.0,941.0,940.0,9.75,3.648,0.73,0.0,4.49,0.0,0.0,0.0,,,,
113,45.0,946.0,940.0,7.5,3.763,0.2,0.0,4.49,0.0,0.0,0.0,,,,
113,45.0,947.0,940.0,6.0,3.725,0.75,0.0,4.49,0.0,0.0,0.0,,,,
114,45.0,947.0,940.0,9.0,3.68,0.22,0.0,4.49,0.0,0.0,0.0,,,,
115,45.0,946.0,940.0,3.0,3.776,0.25,0.0,4.49,0.0,0.0,0.0,,,,
115,45.75,946.0,940.0,5.25,3.718,0.85,0.0,4.49,0.0,0.0,0.0,,,,
116,45.75,942.0,940.0,6.75,3.635,0.65,0.0,4.49,0.0,0.0,0.0,,,,
116,45.75,950.0,940.0,0.75,3.757,0.26,0.0,4.49,0.0,0.0,0.0,,,,
117,45.75,942.0,940.0,2.25,3.693,0.86,0.0,4.49,0.0,0.0,0.0,,,,
117,45.75,942.0,940.0,3.75,3.674,0.74,0.0,4.49,0.0,0.0,0.0,,,,
117,45.75,948.0,940.0,3.75,3.712,0.25,0.0,4.42,0.0,0.0,0.0,,,,
118,45.75,939.0,940.0,3.0,3.642,0.79,0.0,4.49,0.0,0.0,0.0,,,,
118,45.75,933.0,930.0,6.0,3.699,0.84,0.0,4.49,0.0,0.0,0.0,,,,
119,45.75,939.0,930.0,4.5,3.693,0.22,0.0,4.49,0.0,0.0,0.0,,,,
119,45.75,936.0,980.0,8.25,4.435,0.21,0.0,6.86,0.0,1.0,0.0,,,,
119,45.75,989.0,980.0,-2.25,3.91,0.89,0.0,4.79,0.0,1.0,0.0,,,,
120,46.5,975.0,980.0,1.5,3.808,0.91,0.0,4.86,0.0,1.0,0.0,,,,
120,46.5,985.0,980.0,-0.75,3.744,0.21,0.0,4.91,0.0,1.0,0.0,,,,
121,46.5,981.0,980.0,5.25,3.962,0.19,0.0,4.98,0.0,0.0,0.0,,,,
121,46.5,982.0,930.0,2.25,3.661,0.22,0.0,4.61,0.0,0.0,0.0,,,,
